N,Operation,TotalTime,AverageTime
1000,Insert,0.0010000000,1.0000000000e-06
1000,Search,0.0000000000,0.0000000000e+00
1000,Delete,0.0000000000,0.0000000000e+00
5000,Insert,0.0030000000,6.0000000000e-07
5000,Search,0.0030000000,6.0000000000e-07
5000,Delete,0.0080000000,1.6000000000e-06
10000,Insert,0.0090000000,9.0000000000e-07
10000,Search,0.0090000000,9.0000000000e-07
10000,Delete,0.0050000000,5.0000000000e-07
20000,Insert,0.0290000000,1.4500000000e-06
20000,Search,0.0220000000,1.1000000000e-06
20000,Delete,0.0260000000,1.3000000000e-06
50000,Insert,0.0830000000,1.6600000000e-06
50000,Search,0.0960000000,1.9200000000e-06
50000,Delete,0.0810000000,1.6200000000e-06
100000,Insert,0.1630000000,1.6300000000e-06
100000,Search,0.2260000000,2.2600000000e-06
100000,Delete,0.1990000000,1.9900000000e-06
200000,Insert,0.3820000000,1.9100000000e-06
200000,Search,0.4550000000,2.2750000000e-06
200000,Delete,0.4360000000,2.1800000000e-06
500000,Insert,1.0480000000,2.0960000000e-06
500000,Search,1.3550000000,2.7100000000e-06
500000,Delete,1.3700000000,2.7400000000e-06
